"행정구역별","연령별","항목","단위","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"남양주시","60대","동반가구원수[명]","명","6","X","7","9","5","X","X","4","5","11",
"남양주시","70대이상","귀농가구원수[명]","명","8","7","5","4","5","4","0","6","7","4",
"남양주시","70대이상","귀농인수[명]","명","5","5","X","X","4","X","0","X","X","4",
"남양주시","70대이상","동반가구원수[명]","명","X","X","X","X","X","X","0","X","4","0",
"용인시","계","귀농가구원수[명]","명","40","59","94","389","118","105","117","131","147","84",
"용인시","계","귀농인수[명]","명","28","33","52","74","62","62","71","71","74","56",
"용인시","계","동반가구원수[명]","명","12","26","42","315","56","43","46","60","73","28",
"용인시","30대이하","귀농가구원수[명]","명","10","13","29","305","44","37","36","50","35","20",
"용인시","30대이하","귀농인수[명]","명","X","0","4","12","10","8","7","13","13","9",
"용인시","30대이하","동반가구원수[명]","명","7","13","25","293","34","29","29","37","22","11",
"용인시","40대","귀농가구원수[명]","명","8","15","17","17","24","22","15","9","19","6",
"용인시","40대","귀농인수[명]","명","6","9","14","12","16","18","14","9","17","5",
"용인시","40대","동반가구원수[명]","명","X","6","X","5","8","4","X","0","X","X",
"용인시","50대","귀농가구원수[명]","명","11","21","28","35","28","28","42","38","38","26",
"용인시","50대","귀농인수[명]","명","10","16","21","26","19","21","31","26","22","19",
"용인시","50대","동반가구원수[명]","명","X","5","7","9","9","7","11","12","16","7",
"용인시","60대","귀농가구원수[명]","명","7","10","16","25","16","16","17","29","44","24",
"용인시","60대","귀농인수[명]","명","6","8","11","19","12","13","14","19","19","18",
"용인시","60대","동반가구원수[명]","명","X","X","5","6","4","X","X","10","25","6",
"용인시","70대이상","귀농가구원수[명]","명","4","0","4","7","6","X","7","5","11","8",
"용인시","70대이상","귀농인수[명]","명","X","0","X","5","5","X","5","4","X","5",
"용인시","70대이상","동반가구원수[명]","명","X","0","X","X","X","0","X","X","8","X",
"파주시","계","귀농가구원수[명]","명","88","84","114","112","77","91","87","94","81","97",
"파주시","계","귀농인수[명]","명","58","53","69","70","49","62","56","65","56","69",
"파주시","계","동반가구원수[명]","명","30","31","45","42","28","29","31","29","25","28",
"파주시","30대이하","귀농가구원수[명]","명","31","27","30","32","16","21","19","17","22","26",
"파주시","30대이하","귀농인수[명]","명","13","6","5","9","7","8","11","6","10","13",
"파주시","30대이하","동반가구원수[명]","명","18","21","25","23","9","13","8","11","12","13",
"파주시","40대","귀농가구원수[명]","명","14","13","20","18","12","8","10","9","8","15",
"파주시","40대","귀농인수[명]","명","11","12","17","15","9","7","6","7","8","14",
"파주시","40대","동반가구원수[명]","명","X","X","X","X","X","X","4","X","0","X",
"파주시","50대","귀농가구원수[명]","명","27","22","25","34","30","25","24","37","14","22",
"파주시","50대","귀농인수[명]","명","22","17","21","24","21","20","17","26","11","16",
"파주시","50대","동반가구원수[명]","명","5","5","4","10","9","5","7","11","X","6",
"파주시","60대","귀농가구원수[명]","명","13","18","29","15","14","28","20","28","30","24",
"파주시","60대","귀농인수[명]","명","10","14","20","12","9","22","15","24","21","19",
"파주시","60대","동반가구원수[명]","명","X","4","9","X","5","6","5","4","9","5",
"파주시","70대이상","귀농가구원수[명]","명","X","4","10","13","5","9","14","X","7","10",
"파주시","70대이상","귀농인수[명]","명","X","4","6","10","X","5","7","X","6","7",
"파주시","70대이상","동반가구원수[명]","명","X","0","4","X","X","4","7","X","X","X",
"이천시","계","귀농가구원수[명]","명","146","87","125","159","116","121","96","109","153","131",
"이천시","계","귀농인수[명]","명","86","56","72","94","79","65","62","72","111","78",
"이천시","계","동반가구원수[명]","명","60","31","53","65","37","56","34","37","42","53",
"이천시","30대이하","귀농가구원수[명]","명","44","17","42","44","28","42","28","30","40","33",
"이천시","30대이하","귀농인수[명]","명","13","6","11","13","12","13","13","15","20","15",
"이천시","30대이하","동반가구원수[명]","명","31","11","31","31","16","29","15","15","20","18",
"이천시","40대","귀농가구원수[명]","명","17","14","18","23","16","21","15","17","18","8",
"이천시","40대","귀농인수[명]","명","12","11","13","17","14","13","12","14","12","4",
"이천시","40대","동반가구원수[명]","명","5","X","5","6","X","8","X","X","6","4",
"이천시","50대","귀농가구원수[명]","명","46","21","36","52","38","25","24","31","36","35",
"이천시","50대","귀농인수[명]","명","34","17","27","37","28","18","17","22","30","23",
"이천시","50대","동반가구원수[명]","명","12","4","9","15","10","7","7","9","6","12",
